ID,TITRE,PRIX,ARR,LINK,M2,PIECES
237,Paris 8- Miromesnil 2 bedroom furnished apt 75m2,2600,rue Miromesnil,https://paris.craigslist.org/apa/d/paris-8-miromesnil-2-bedroom-furnished/6816588112.html,75,2
692,PARIS 16 FAISANDERIE VICTOR HUGO,2188,FAISANDERIE,https://paris.craigslist.org/apa/d/paris-16-faisanderie-victor-hugo/6805115769.html,67,1
1260,2bedrooms apt furnished 1.5 bath minimun 1 month,2950,Louvres Tuileries Opera,https://paris.craigslist.org/apa/d/2bedrooms-apt-furnished-15-bath-minimun/6793931090.html,75,2
1277,Furnished 2 bedrooms apt Paris 8,2500,Paris Boétie,https://paris.craigslist.org/apa/d/furnished-2-bedrooms-apt-paris-8/6793285959.html,54,2
